22-43-15-518:======GameLog Start (2024年8月18日, 22:43:15)======
22-44-07-124:[Warn]:Time:22-44-07-123:StoryInstance queue message start
22-44-07-129:[Warn]:Time:22-44-07-128:StoryInstance queue message start
22-44-07-132:[Warn]:Time:22-44-07-132:StoryInstance queue message start
22-44-07-137:[Warn]:Time:22-44-07-136:StoryInstance queue message start
22-44-07-141:[Warn]:Time:22-44-07-140:StoryInstance queue message start
22-44-07-145:[Warn]:Time:22-44-07-145:StoryInstance queue message start
22-44-07-149:[Warn]:Time:22-44-07-149:StoryInstance queue message start
22-44-07-161:[Warn]:Time:22-44-07-161:StoryInstance queue message on_born
22-44-07-161:[Warn]:Time:22-44-07-161:StoryInstance queue message on_born
22-44-07-162:[Warn]:Time:22-44-07-161:StoryInstance queue message on_born
22-44-07-162:[Warn]:Time:22-44-07-162:StoryInstance queue message on_born
22-44-07-162:[Warn]:Time:22-44-07-162:StoryInstance queue message on_born
22-44-07-162:[Warn]:Time:22-44-07-162:StoryInstance queue message on_born
22-44-07-162:[Warn]:Time:22-44-07-162:StoryInstance queue message on_born
22-44-07-429:[Warn]:Time:22-44-07-429:StoryInstance queue message show_centerinfo
22-44-10-875:[Warn]:Time:22-44-10-874:StoryInstance queue message hide_centerinfo
22-44-10-880:[Warn]:Time:22-44-10-880:StoryInstance queue message on_hide_centerinfo
22-48-35-023:[Warn]:Time:22-48-35-022:StoryInstance queue message move_to
